Time,Longitude,Latitude,Altitude,Roll (deg),Pitch (deg),Yaw (deg),Health
0.0,128.181881,37.914621,1546.405848,0.0,-0.003,0.0,1.0
0.0166,128.181881,37.914654,1546.414992,0.0,-0.012,0.0,1.0
0.0333,128.181881,37.914687,1546.4207832000002,0.081,-0.026,0.011,1.0
0.05,128.181881,37.914719,1546.4232216,0.24,-0.044,0.033,1.0
0.0666,128.181881,37.914752,1546.4213928,0.48,-0.065,0.063,1.0
0.0833,128.181881,37.914784,1546.4143824,0.802,-0.088,0.097,1.0
0.1,128.181881,37.914817,1546.4015808000001,1.204,-0.113,0.133,1.0
0.1166,128.181881,37.91485,1546.3817688,1.686,-0.139,0.169,1.0
0.1333,128.181881,37.914883,1546.3549464,2.246,-0.164,0.205,1.0
0.15,128.181881,37.914915,1546.3195896,2.879,-0.189,0.24,1.0
0.1666,128.181881,37.914948,1546.2753936000001,3.584,-0.213,0.275,1.0
0.1833,128.181881,37.914981,1546.2238823999999,4.356,-0.237,0.309,1.0
0.2,128.181881,37.915014,1546.1644464,5.194,-0.262,0.342,1.0
0.2166,128.181881,37.915047,1546.0973904,6.093,-0.286,0.374,1.0
0.2333,128.181881,37.91508,1546.0227144,7.052,-0.299,0.406,1.0
0.25,128.181881,37.915113,1545.941028,8.068,-0.301,0.44,1.0
0.2666,128.181881,37.915146,1545.8520264,9.138,-0.295,0.474,1.0
0.2833,128.18188,37.915179,1545.7563192,10.259,-0.284,0.509,1.0
0.3,128.18188,37.915212,1545.6532968000001,11.43,-0.271,0.543,1.0
0.3166,128.18188,37.915245,1545.5438736,12.648,-0.258,0.579,1.0
0.3333,128.18188,37.915278,1545.4283544,13.911,-0.23,0.617,1.0
0.35,128.18188,37.915311,1545.3067392000003,15.217,-0.183,0.661,1.0
0.3666,128.18188,37.915344,1545.1793328,16.564,-0.121,0.711,1.0
0.3833,128.18188,37.915377,1545.04644,17.95,-0.05,0.764,1.0
0.4,128.18188,37.91541,1544.907756,19.373,0.025,0.821,1.0
0.4166,128.18188,37.915444,1544.7641952,20.832,0.103,0.881,1.0
0.4333,128.18188,37.915477,1544.6160624000001,22.325,0.195,0.949,1.0
0.45,128.18188,37.91551,1544.4636624,23.85,0.308,1.029,1.0
0.4666,128.181879,37.915544,1544.3069952,25.405,0.436,1.119,1.0
0.4833,128.181879,37.915577,1544.1463656,26.99,0.573,1.219,1.0
0.5,128.181879,37.91561,1543.9820784,28.603,0.714,1.326,1.0
0.5166,128.181879,37.915644,1543.8144384,30.242,0.854,1.438,1.0
0.5333,128.181879,37.915677,1543.6449696000002,31.903,1.006,1.564,1.0
0.55,128.181879,37.915711,1543.473672,33.58,1.176,1.708,1.0
0.5666,128.181879,37.915744,1543.3008504000002,35.271,1.358,1.868,1.0
0.5833,128.181878,37.915778,1543.1265048000002,36.974,1.547,2.042,1.0
0.6,128.181878,37.915812,1542.9515496,38.685,1.735,2.225,1.0
0.6166,128.181878,37.915845,1542.7756800000002,40.402,1.92,2.415,1.0
0.6333,128.181878,37.915879,1542.6016392000001,42.041,2.116,2.618,1.0
0.65,128.181878,37.915912,1542.4294272,43.604,2.328,2.84,1.0
0.6666,128.181878,37.915946,1542.2596536,45.097,2.551,3.079,1.0
0.6833,128.181878,37.91598,1542.0938424,46.527,2.777,3.333,1.0
0.7,128.181878,37.916013,1541.9319936000002,47.901,2.999,3.599,1.0
0.7166,128.181879,37.916047,1541.7741072000001,49.226,3.213,3.872,1.0
0.7333,128.181879,37.916081,1541.6217072000002,50.438,3.433,4.161,1.0
0.75,128.181879,37.916115,1541.4750984,51.545,3.662,4.467,1.0
0.7666,128.18188,37.916148,1541.3348904,52.56,3.894,4.79,1.0
0.7833,128.181881,37.916182,1541.2016928,53.494,4.123,5.123,1.0
0.8,128.181881,37.916216,1541.0733720000003,54.359,4.345,5.465,1.0
0.8166,128.181882,37.91625,1540.9502328,55.164,4.558,5.812,1.0
0.8333,128.181883,37.916283,1540.8344088000001,55.877,4.765,6.16,1.0
