Time,Longitude,Latitude,Altitude,Roll (deg),Pitch (deg),Yaw (deg),Health
0.0,128.181881,37.914618,2472.0480912000003,0.0,-0.003,0.0,1.0
0.0166,128.181881,37.914649,2472.0557112,0.0,-0.01,0.0,1.0
0.0333,128.181881,37.914679,2472.0602832,0.066,-0.022,0.008,1.0
0.05,128.181881,37.91471,2472.0615024000003,0.196,-0.037,0.025,1.0
0.0666,128.181881,37.914741,2472.0584544000003,0.391,-0.056,0.048,1.0
0.0833,128.181881,37.914772,2472.0505296,0.653,-0.077,0.075,1.0
0.1,128.181881,37.914803,2472.0371184,0.979,-0.1,0.105,1.0
0.1166,128.181881,37.914834,2472.0176112,1.37,-0.125,0.136,1.0
0.1333,128.181881,37.914865,2471.9910936,1.825,-0.15,0.167,1.0
0.15,128.181881,37.914896,2471.956956,2.34,-0.176,0.199,1.0
0.1666,128.181881,37.914927,2471.9148936,2.916,-0.203,0.231,1.0
0.1833,128.181881,37.914958,2471.8658208,3.55,-0.231,0.262,1.0
0.2,128.181881,37.914989,2471.8094328,4.239,-0.259,0.292,1.0
0.2166,128.181881,37.91502,2471.7460344,4.982,-0.288,0.323,1.0
0.2333,128.181881,37.915051,2471.6756256,5.778,-0.312,0.352,1.0
0.25,128.181881,37.915082,2471.5982064,6.623,-0.331,0.382,1.0
0.2666,128.181881,37.915113,2471.5137768,7.517,-0.347,0.411,1.0
0.2833,128.181881,37.915145,2471.4226416,8.458,-0.36,0.441,1.0
0.3,128.18188,37.915176,2471.3251056,9.443,-0.372,0.47,1.0
0.3166,128.18188,37.915207,2471.2208640000003,10.471,-0.384,0.498,1.0
0.3333,128.18188,37.915238,2471.1108312,11.541,-0.384,0.528,1.0
0.35,128.18188,37.91527,2470.9943976,12.651,-0.373,0.561,1.0
0.3666,128.18188,37.915301,2470.871868,13.799,-0.353,0.596,1.0
0.3833,128.18188,37.915333,2470.7435472,14.983,-0.326,0.633,1.0
0.4,128.18188,37.915364,2470.6097400000003,16.203,-0.296,0.671,1.0
0.4166,128.18188,37.915395,2470.4701416,17.457,-0.263,0.711,1.0
